Index,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label,cluster
1494,org.gjt.sp.jedit.JARClassLoader,jedit.JARClassLoader,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1495,org.jedit.options.OptionGroupPane,jedit.options.OptionGroupPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer,7
1496,org.gjt.sp.jedit.GUIUtilities,jedit.GUIUtilities,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Interfacer,8
1497,org.gjt.sp.jedit.gui.KeyEventTranslator,jedit.gui.KeyEventTranslator,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Service Provider,7
1498,org.gjt.sp.jedit.gui.ListModelEditor,jedit.gui.ListModelEditor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1499,org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassWriter,jedit.bsh.org.objectweb.asm.ClassWriter,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Service Provider,7
1500,org.gjt.sp.jedit.textarea.BufferHandler,jedit.textarea.BufferHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1501,org.gjt.sp.jedit.options.MouseOptionPane,jedit.options.MouseOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1502,org.gjt.sp.jedit.input.TextAreaInputHandler,jedit.input.TextAreaInputHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1503,org.gjt.sp.jedit.textarea.SelectionManager,jedit.textarea.SelectionManager,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1504,org.gjt.sp.jedit.syntax.ModeProvider,jedit.syntax.ModeProvider,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Service Provider,7
1505,org.gjt.sp.jedit.options.AppearanceOptionPane,jedit.options.AppearanceOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer,7
1506,org.gjt.sp.jedit.menu.DirectoryProvider,jedit.menu.DirectoryProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1507,org.gjt.sp.jedit.bsh.Primitive,jedit.bsh.Primitive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Service Provider,7
